Jar,Time,Temp,Class,Area (ABD),Aspect Ratio,Average Blue,Average Green,Average Red,Biovolume (Cylinder),Biovolume (P. Spheroid),Biovolume (Sphere),Circularity (Hu),Date,Diameter (ABD),Geodesic Aspect Ratio,Geodesic Length,Length,Original Reference ID,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Sigma Intensity,Timestamp,Volume (ABD),Width,Density_inds/ml,
INIT,0,Original,Colpidium,3983.618,0.402,135.4468,139.6823,143.1818,127576.0663,149568.806,189138.6657,0.6795,6/5/19,71.2187,0.207,155.9035,123.9945,5BECACC1-112E-4C90-8C96-0F90124E80B4,0.9697,1.0571,1.0251,37.6182,2019-06-05T08:34:24.257,1.89E+05,56.0325,311,
INIT,0,Original,Colpidium,2636.4611,0.3964,132.487,137.3327,140.9614,102308.1592,89842.7546,101834.7124,0.6776,6/5/19,57.9383,0.3362,104.8508,105.1965,81E93AA8-8763-42C1-8C26-B34B0F5E3266,0.9647,1.064,1.0264,38.913,2019-06-05T08:34:25.126,1.02E+05,43.7415,311,
INIT,0,Original,Colpidium,4080.6225,0.5095,123.8852,129.608,133.0754,158575.889,155966.0602,196089.0927,0.7939,6/5/19,72.0806,0.3791,111.9959,105.9195,241389A3-B615-44DF-A8B4-9FF9AA412780,0.9558,1.0742,1.0268,40.8617,2019-06-05T08:34:25.780,1.96E+05,56.0325,311,
INIT,0,Original,Colpidium,1945.348,0.4636,136.1375,138.7813,142.2959,85846.0588,70047.263,64544.574,0.7539,6/5/19,49.7684,0.4472,81.7641,86.3985,A30BAFDE-5424-45D8-9DBD-7AB5C7844B71,0.9809,1.0452,1.0253,39.0411,2019-06-05T08:34:26.823,6.45E+04,40.1265,311,
INIT,0,Original,Colpidium,3423.1666,0.4348,124.291,131.4614,135.3327,134816.0134,122916.8904,150662.7357,0.7201,6/5/19,66.019,0.3612,109.5831,109.5345,C5ED475D-8996-4AAA-9919-76841A0AEA60,0.9455,1.0888,1.0294,37.6055,2019-06-05T08:34:27.040,1.51E+05,48.0795,311,
INIT,0,Original,Colpidium,2021.9353,0.413,133.4596,137.2578,140.8856,95726.012,75709.7995,68393.4758,0.6994,6/5/19,50.7386,0.4211,88.2474,97.2435,3A6B5828-7471-41D6-A5D3-0949A26745CA,0.9723,1.0556,1.0264,39.7982,2019-06-05T08:34:27.823,6.84E+04,39.4035,311,
INIT,0,Original,Colpidium,2610.7277,0.4129,126.2481,133.5963,137.3586,95455.8471,77084.0405,100347.4116,0.6982,6/5/19,57.6549,0.4066,90.2549,96.5205,06B4B579-EF81-48F9-9E79-99E4DCA6D74F,0.945,1.088,1.0282,37.6681,2019-06-05T08:34:28.910,1.00E+05,40.8495,311,
INIT,0,Original,Colpidium,2976.5355,0.3962,125.3695,130.6237,134.8199,121551.4924,109264.9667,122160.3845,0.6767,6/5/19,61.5617,0.3289,112.6854,110.9805,1D10A14F-C5FA-4A5A-AADD-9EB0251723F9,0.9598,1.0754,1.0321,33.6385,2019-06-05T08:34:29.041,1.22E+05,45.1875,311,
INIT,0,Original,Colpidium,2574.1189,0.4135,129.2844,133.7733,137.4093,96590.9899,91291.6142,98244.1536,0.6987,6/5/19,57.2492,0.3039,110.0225,104.4735,6ED2E7D1-5F0D-44A6-A413-E8A428836459,0.9664,1.0628,1.0272,35.8489,2019-06-05T08:34:29.259,9.82E+04,43.0185,311,
INIT,0,Original,Colpidium,3544.7719,0.4202,138.5498,140.3613,143.1148,153055.2577,127820.1562,158761.8821,0.7043,6/5/19,67.1814,0.4153,104.1618,112.4265,FABAC69E-3CE9-4530-9CC4-CAFA407D68BB,0.9871,1.0329,1.0196,44.0798,2019-06-05T08:34:29.478,1.59E+05,47.3565,311,
INIT,0,Original,Colpidium,2089.267,0.4651,135.2351,140.095,143.6801,84455.388,72185.8083,71838.0809,0.7603,6/5/19,51.5765,0.4029,87.1698,90.0135,8FD81315-D64C-4590-B0E2-9A7DBDA38184,0.9653,1.0624,1.0256,35.8337,2019-06-05T08:34:29.521,7.18E+04,41.5725,311,
INIT,0,Original,Colpidium,2686.9573,0.4652,132.3654,136.4714,140.3614,104451.5226,99853.893,104774.3416,0.7487,6/5/19,58.4905,0.3507,102.6411,98.6895,9FCBEA64-36A2-4CC2-9564-28E136E3B601,0.9699,1.0604,1.0285,39.9993,2019-06-05T08:34:30.825,1.05E+05,46.6335,311,
INIT,0,Original,Colpidium,2107.4627,0.3941,133.9526,137.0547,140.7558,82945.0186,66192.4321,72778.59,0.6748,6/5/19,51.8006,0.3888,88.7268,95.0745,8710E2F5-B257-4AED-BAFA-A45F22787265,0.9774,1.0508,1.027,40.3065,2019-06-05T08:34:31.086,7.28E+04,37.9575,311,
INIT,0,Original,Colpidium,2956.6775,0.4309,136.4353,137.9,140.3897,126910.7489,107420.9503,120939.9382,0.7179,6/5/19,61.356,0.4053,99.454,103.7505,97A160F7-C8B2-48A5-B748-B4C1E56102DC,0.9894,1.029,1.0181,40.761,2019-06-05T08:34:32.217,1.21E+05,45.1875,311,
INIT,0,Original,Colpidium,2809.3397,0.3938,125.7761,131.7392,135.7551,94020.4241,94939.4421,112013.4519,0.6633,6/5/19,59.8077,0.2671,118.8211,110.2575,2F8CB90B-0668-4B6F-9B3F-F01783E2A2DF,0.9547,1.0793,1.0305,36.966,2019-06-05T08:34:35.915,1.12E+05,43.0185,311,
INIT,0,Original,Colpidium,2530.6024,0.3734,136.236,138.966,141.7284,91313.436,73016.4354,95763.4255,0.6497,6/5/19,56.7632,0.368,95.0355,101.5815,008DD2FD-8234-44B0-8187-15689B3CEE25,0.9804,1.0403,1.0199,44.3968,2019-06-05T08:34:36.611,9.58E+04,37.2345,311,
INIT,0,Original,Colpidium,2459.9315,0.4189,138.8749,142.7267,146.1459,99775.7706,83980.2973,91780.0554,0.7038,6/5/19,55.965,0.3867,94.7176,99.4125,957BD6EB-6AEE-416C-B63C-F0EC7D194A4B,0.973,1.0524,1.024,38.713,2019-06-05T08:34:37.785,9.18E+04,41.5725,311,
INIT,0,Original,Colpidium,4209.2051,0.3832,127.2762,131.8213,135.843,175459.8618,158854.1393,205430.03,0.6549,6/5/19,73.2074,0.3341,126.0326,127.6095,BEEBA32C-99C5-4027-B2F1-D98261E4D1D9,0.9655,1.0673,1.0305,38.5396,2019-06-05T08:34:39.222,2.05E+05,50.2485,311,
INIT,0,Original,Colpidium,3913.1469,0.4212,129.0289,135.1864,139.172,158816.6727,137972.3121,184142.0709,0.7048,6/5/19,70.5859,0.3888,110.185,117.4875,330A949D-77C4-482B-AF78-91B68692B5D9,0.9545,1.0786,1.0295,39.0072,2019-06-05T08:34:39.265,1.84E+05,48.8025,311,
INIT,0,Original,Colpidium,2383.3932,0.4552,137.4265,140.28,143.467,94644.7137,82155.6601,87530.0818,0.7436,6/5/19,55.0875,0.3974,91.3736,92.9055,640BD8B9-A731-4C64-AF9C-0E0C5D32FF34,0.9797,1.044,1.0227,35.6346,2019-06-05T08:34:39.265,8.75E+04,42.2955,311,
INIT,0,Original,Colpidium,2333.0632,0.4466,143.5708,145.3262,147.6181,90207.3146,77168.1335,84772.219,0.7351,6/5/19,54.5027,0.3969,90.0104,91.4595,204ED131-AC4F-44A4-966C-CE3EB9ACF90C,0.9879,1.0282,1.0158,41.7447,2019-06-05T08:34:41.919,8.48E+04,43.7415,311,
INIT,0,Original,Colpidium,2904.0704,0.4212,131.5762,135.9314,139.2708,112918.2204,96048.5249,117726.5729,0.7051,6/5/19,60.8077,0.3893,98.251,101.5815,39685449-936A-4AA2-8AE7-DB0D74CE6DD3,0.968,1.0585,1.0246,40.2825,2019-06-05T08:34:42.613,1.18E+05,43.7415,311,
INIT,0,Original,Colpidium,3215.0813,0.414,125.154,132.0324,136.2934,131869.5205,116863.2771,137136.0836,0.699,6/5/19,63.981,0.3564,109.748,110.9805,63F1DA9A-BA67-43EB-B7A0-98D85BE955FB,0.9479,1.089,1.0323,35.6743,2019-06-05T08:34:42.701,1.37E+05,46.6335,311,
INIT,0,Original,Colpidium,3872.1765,0.4445,124.4211,132.7231,137.1803,208135.0695,187708.5494,181257.722,0.7309,6/5/19,70.2154,0.3942,119.4662,123.2715,85CBEEEF-6E5C-4E5D-84CE-C57F8798527B,0.9374,1.1025,1.0336,30.2482,2019-06-05T08:34:42.789,1.81E+05,55.3095,311,
INIT,0,Original,Colpidium,3407.2257,0.4376,136.1244,139.9611,143.4664,113377.8414,132104.9176,149611.564,0.7072,6/5/19,65.8651,0.2399,135.8585,113.8725,7DCF8DD0-157D-4214-A1E5-424B7BA189A0,0.9726,1.0539,1.025,38.8779,2019-06-05T08:34:42.875,1.50E+05,47.3565,311,
INIT,0,Original,Colpidium,3374.8514,0.4197,129.263,131.805,134.5706,132441.5654,115689.9427,147484.2941,0.7033,6/5/19,65.5515,0.3754,106.1562,107.3655,F411E79A-4F6B-4846-9C98-7B9FEE0D2E93,0.9807,1.0411,1.021,43.2181,2019-06-05T08:34:43.701,1.47E+05,45.1875,311,
INIT,0,Original,Colpidium,2631.0169,0.4248,132.7874,136.6294,140.2078,101583.3921,82472.1173,101519.4507,0.7121,6/5/19,57.8784,0.4185,90.3876,97.2435,0D4DD4EE-8732-4BA1-B729-326B269E350F,0.9719,1.0559,1.0262,41.0176,2019-06-05T08:34:44.833,1.02E+05,42.2955,311,
INIT,0,Original,Colpidium,2862.8948,0.3996,132.2693,135.606,139.0465,107087.0188,94275.516,115231.678,0.6825,6/5/19,60.3751,0.3378,106.1234,105.1965,A76026DF-3DB3-4656-A6B3-45D75740CFF2,0.9754,1.0512,1.0254,41.486,2019-06-05T08:34:46.312,1.15E+05,43.7415,311,
INIT,0,Original,Colpidium,3595.6358,0.4517,127.6934,133.3719,137.2885,162586.2437,156423.9519,162191.2179,0.7349,6/5/19,67.6617,0.3516,118.7501,115.3185,121695D8-43EA-4104-B566-E00745B95FE9,0.9574,1.0751,1.0294,39.8174,2019-06-05T08:34:46.789,1.62E+05,54.5865,311,
INIT,0,Original,Colpidium,3331.531,0.4505,138.4962,141.6109,144.7592,123829.5447,119453.2592,144653.7129,0.738,6/5/19,65.1294,0.3331,112.4196,105.9195,D896DF13-7EF6-4D66-A452-C6F6A944A863,0.978,1.0452,1.0222,40.2105,2019-06-05T08:34:46.833,1.45E+05,48.0795,311,
INIT,0,Original,Colpidium,4193.6906,0.4472,122.1414,126.6861,130.0666,151633.2745,153162.077,204295.3032,0.7332,6/5/19,73.0724,0.311,125.9088,116.0415,A59A0876-302C-4B85-97FE-5B8987F4A7F6,0.9641,1.0649,1.0267,39.9274,2019-06-05T08:34:49.096,2.04E+05,52.4175,311,
INIT,0,Original,Colpidium,4218.214,0.4317,121.3829,127.3257,131.2186,194715.5165,166056.5547,206089.9053,0.7206,6/5/19,73.2857,0.4154,112.8319,121.8255,DE8A743A-0B46-4BB4-B2D6-579675BFDCF4,0.9533,1.081,1.0306,38.3967,2019-06-05T08:34:49.356,2.06E+05,51.6945,311,
INIT,0,Original,Colpidium,4601.4576,0.4142,122.1475,129.2145,133.4778,197723.6882,176099.6758,234804.779,0.6986,6/5/19,76.5425,0.3692,122.6915,126.8865,F77DAACA-FACE-4D82-BBCA-83D29D2ECE06,0.9453,1.0928,1.033,39.2916,2019-06-05T08:34:51.968,2.35E+05,53.1405,311,
INIT,0,Original,Colpidium,2499.4609,0.4353,127.9017,133.8484,137.9205,93011.101,82812.9561,94001.1852,0.7161,6/5/19,56.4129,0.3692,95.4257,96.5205,4990EDDF-3BEF-4C29-B9E0-BC6D24B19FA6,0.9556,1.0783,1.0304,36.7283,2019-06-05T08:34:51.968,9.40E+04,42.2955,311,
INIT,0,Original,Colpidium,3683.4395,0.4266,121.7041,127.1478,131.1538,166238.152,139113.5705,168168.291,0.7097,6/5/19,68.4829,0.4275,105.0096,115.3185,BDCC8D64-D547-4813-8CC2-C68D47B082DF,0.9572,1.0776,1.0315,43.7451,2019-06-05T08:34:58.624,1.68E+05,48.8025,311,
INIT,0,Original,Colpidium,2944.268,0.3777,127.7669,134.8013,139.0432,103627.8472,106593.2234,120179.3404,0.6407,6/5/19,61.2271,0.2523,127.5187,111.7035,1E5A7003-89EE-4844-851A-B15A193AC6CC,0.9478,1.0883,1.0315,33.1085,2019-06-05T08:34:58.927,1.20E+05,44.4645,311,
INIT,0,Original,Colpidium,2634.9763,0.4447,130.2504,135.5965,139.713,110247.5902,99961.5821,101748.6979,0.7319,6/5/19,57.922,0.3644,101.8664,99.4125,3D129882-ED46-47D1-A600-C36460F3B8D0,0.9606,1.0726,1.0304,36.5457,2019-06-05T08:34:59.667,1.02E+05,45.1875,311,
INIT,0,Original,Colpidium,3229.5077,0.4068,130.391,136.788,140.7788,113958.7906,119817.4132,138060.1316,0.6764,6/5/19,64.1244,0.2648,127.4303,110.9805,767765E0-983C-433A-80D3-DBE5F5ABF240,0.9532,1.0797,1.0292,36.6364,2019-06-05T08:35:00.102,1.38E+05,47.3565,311,
INIT,0,Original,Colpidium,2401.6575,0.4042,136.7692,140.6418,144.0045,87265.6714,69986.5738,88538.1428,0.6863,6/5/19,55.2981,0.4004,88.5029,94.3515,68250426-A578-4BBD-8E28-B540B0C6B4C6,0.9725,1.0529,1.0239,41.269,2019-06-05T08:35:00.928,8.85E+04,38.6805,311,
INIT,0,Original,Colpidium,2879.264,0.4318,129.4199,135.8398,139.7976,112764.7791,97077.0684,116221.3817,0.7148,6/5/19,60.5474,0.3947,97.3202,101.5815,41121BC3-9ABD-4579-8EEC-CDC9E6828ECF,0.9527,1.0802,1.0291,37.7973,2019-06-05T08:35:03.060,1.16E+05,43.7415,311,
INIT,0,Original,Colpidium,3298.1784,0.4658,130.1885,134.1434,137.3058,157498.168,131693.8089,142486.9279,0.7532,6/5/19,64.8026,0.466,97.385,105.9195,BFD9EA0D-A425-4D92-B578-0153D430FE28,0.9705,1.0547,1.0236,44.3743,2019-06-05T08:35:03.931,1.42E+05,50.2485,311,
INIT,0,Original,Colpidium,3423.1666,0.4434,130.7019,133.082,135.9444,133135.5489,124898.5548,150662.7357,0.7307,6/5/19,66.019,0.3474,111.9851,110.2575,E793F8CD-75BD-4586-94C3-C81646ED22D2,0.9821,1.0401,1.0215,38.332,2019-06-05T08:35:04.451,1.51E+05,50.2485,311,
INIT,0,Original,Colpidium,3117.6206,0.4469,134.7047,136.0881,138.7958,139168.5568,114470.6826,130947.9439,0.7346,6/5/19,63.0038,0.4511,95.4863,104.4735,047AE7D1-17D6-4846-8C76-4A2960B9D735,0.9898,1.0304,1.0199,42.4788,2019-06-05T08:35:06.758,1.31E+05,47.3565,311,
INIT,0,Original,Colpidium,2826.1968,0.3991,129.7865,135.4348,138.9393,113137.8284,91300.9816,113023.1497,0.6819,6/5/19,59.9869,0.4001,96.5387,103.7505,A4B40F34-EB00-435E-84A1-86006C602A1E,0.9583,1.0705,1.0259,38.5261,2019-06-05T08:35:12.804,1.13E+05,41.5725,311,
INIT,0,Original,Colpidium,2703.7949,0.4175,127.8717,133.929,137.6531,93783.9022,88415.3409,105760.7265,0.7005,6/5/19,58.6735,0.3111,107.2478,101.5815,FA101943-CAAC-47B4-AB32-3C09E6E24732,0.9548,1.0765,1.0278,35.2952,2019-06-05T08:35:13.022,1.06E+05,43.0185,311,
INIT,0,Original,Colpidium,2349.3431,0.4071,134.842,138.7187,141.7419,82688.9835,64783.5082,85661.0658,0.6934,6/5/19,54.6926,0.4123,85.2425,90.7365,C26F4D38-CB7A-4E28-BD18-FA87BAA5075A,0.9721,1.0512,1.0218,44.0967,2019-06-05T08:35:17.546,8.57E+04,37.2345,311,
INIT,0,Original,Colpidium,2440.1733,0.4605,130.414,135.8986,138.5506,91293.0046,71451.4238,90676.5104,0.7549,6/5/19,55.7398,0.4757,80.0912,86.3985,CBAF6577-C77F-46C1-9B9E-875B315BD2A6,0.9596,1.0624,1.0195,40.0915,2019-06-05T08:35:18.198,9.07E+04,40.1265,311,
INIT,0,Original,Colpidium,2776.6245,0.3763,126.6839,133.2171,137.2979,94488.6461,84501.5413,110062.5371,0.6482,6/5/19,59.4585,0.3097,107.8519,104.4735,F6477D37-473C-4051-A919-9331DAE70CFB,0.951,1.0838,1.0306,38.046,2019-06-05T08:35:19.241,1.10E+05,40.1265,311,
INIT,0,Original,Colpidium,2669.1322,0.4088,134.4573,139.2164,142.523,94118.7349,87030.8373,103733.4743,0.6891,6/5/19,58.2962,0.3171,106.025,100.8585,81B41BF0-209C-4E23-A240-B0AB9FB223B5,0.9658,1.06,1.0238,39.3343,2019-06-05T08:35:24.418,1.04E+05,43.0185,311,
INIT,0,Original,Colpidium,3951.6277,0.4248,130.6772,134.4527,138.1521,174107.2747,151982.3908,186864.9397,0.7072,6/5/19,70.9321,0.3955,112.3231,118.2105,CFF2203E-5FE8-4EEF-971F-593B2ADCAECD,0.9719,1.0572,1.0275,38.885,2019-06-05T08:35:25.073,1.87E+05,50.9715,311,
INIT,0,Original,Colpidium,2531.5912,0.3866,133.6034,137.9274,141.7929,93771.3015,83950.0042,95819.5579,0.6623,6/5/19,56.7743,0.3166,106.0125,105.1965,83843D6F-C2D4-4785-8B40-73982D10DC4F,0.9687,1.0613,1.028,37.4145,2019-06-05T08:35:27.769,9.58E+04,41.5725,311,
INIT,0,Original,Colpidium,2789.0154,0.4273,130.7432,137.3622,141.2417,113242.2848,95965.7474,110800.1058,0.7127,6/5/19,59.591,0.3972,97.0454,101.5815,1CE86680-2FB0-4BCA-A58F-107BF50D519A,0.9518,1.0803,1.0282,35.5595,2019-06-05T08:35:28.555,1.11E+05,43.7415,311,
INIT,0,Original,Colpidium,3257.3699,0.4059,125.0775,131.4666,135.8108,137094.0619,121069.9746,139850.6265,0.6878,6/5/19,64.4004,0.3549,111.4824,113.8725,9522DBA0-F69B-4B01-924D-40944A79193A,0.9514,1.0858,1.033,34.2518,2019-06-05T08:35:33.337,1.40E+05,45.9105,311,
INIT,0,Original,Colpidium,3004.8387,0.4024,134.3917,137.5326,140.9956,109779.3425,96959.0858,123906.918,0.686,6/5/19,61.8537,0.3393,106.674,107.3655,A5546587-60DB-4889-B0E2-AA5D720974CD,0.9772,1.0491,1.0252,41.3647,2019-06-05T08:35:34.687,1.24E+05,43.0185,311,
INIT,0,Original,Colpidium,2457.9555,0.494,130.1252,135.9299,139.6403,95800.7498,83737.0285,91669.4898,0.7844,6/5/19,55.9425,0.4263,87.5613,89.2905,AF24966B-2DBA-4A83-8DDF-D2E343C6205C,0.9573,1.0731,1.0273,34.7386,2019-06-05T08:35:35.948,9.17E+04,45.1875,311,
INIT,0,Original,Colpidium,2192.108,0.5013,133.2526,138.1437,141.3555,79700.6248,70033.809,77207.007,0.7959,6/5/19,52.8307,0.4121,84.2308,82.0605,5977C0E5-09BC-4F6A-B00C-331D44A2BFE0,0.9646,1.0608,1.0232,39.0248,2019-06-05T08:35:36.469,7.72E+04,40.8495,311,
INIT,0,Original,Colpidium,2634.4813,0.3899,127.9424,134.029,137.8369,104542.924,82664.1812,101720.0321,0.6641,6/5/19,57.9165,0.413,92.0681,101.5815,BCE8A944-9971-418C-AD27-3D3BF0F7A46F,0.9546,1.0773,1.0284,38.0158,2019-06-05T08:35:36.730,1.02E+05,40.1265,311,
INIT,0,Original,Colpidium,2286.7077,0.3484,135.047,139.3457,142.6614,71865.9736,59040.1877,82258.3098,0.6177,6/5/19,53.9586,0.3117,98.0116,99.4125,FDEF1DB6-A1DD-422C-B76D-F06583292663,0.9692,1.0564,1.0238,42.3108,2019-06-05T08:35:37.426,8.23E+04,34.3425,311,
INIT,0,Original,Colpidium,2652.3003,0.398,137.6193,141.8535,144.9519,98541.9212,80921.497,102753.7866,0.6798,6/5/19,58.1121,0.3808,95.2976,100.8585,D9E0F8A0-88FB-4E26-AC1D-5B7BED27EE52,0.9702,1.0533,1.0218,40.1747,2019-06-05T08:35:37.514,1.03E+05,40.1265,311,
INIT,0,Original,Colpidium,2630.522,0.438,128.1546,132.9597,136.7045,104719.0961,86926.0396,101490.8076,0.7219,6/5/19,57.873,0.4253,90.328,97.2435,12B978E4-1EB8-4D2B-B1D9-8317980E43C8,0.9639,1.0667,1.0282,39.1053,2019-06-05T08:35:38.210,1.01E+05,43.0185,311,
INIT,0,Original,Colpidium,2897.6202,0.3932,135.2061,139.1237,142.3075,99329.3744,95674.1262,117334.5707,0.6671,6/5/19,60.7401,0.2874,115.2622,113.8725,D1CB016C-B496-4A89-B7BC-17D06DD464C9,0.9718,1.0525,1.0229,41.0877,2019-06-05T08:35:38.992,1.17E+05,43.0185,311,
INIT,0,Original,Colpidium,2532.58,0.3784,125.8888,132.8826,136.8929,81480.3873,74529.8937,95875.7018,0.655,6/5/19,56.7854,0.2876,107.8485,100.8585,B7A7D27D-FA4F-4AC2-929D-253A8313258B,0.9474,1.0874,1.0302,37.0521,2019-06-05T08:35:40.560,9.59E+04,40.1265,311,
INIT,0,Original,Colpidium,2846.0321,0.3728,131.8945,137.431,140.7538,98588.852,87518.2208,114215.0891,0.6467,6/5/19,60.197,0.3081,109.7626,105.9195,A5E8592D-F3DF-478B-8B9C-735C977E1749,0.9597,1.0672,1.0242,39.4257,2019-06-05T08:35:40.691,1.14E+05,40.1265,311,
INIT,0,Original,Colpidium,3254.3844,0.3934,124.2896,132.1959,136.0202,118387.6986,106032.2924,139658.4024,0.6688,6/5/19,64.3709,0.3343,110.4854,110.9805,EC7B59F8-201A-4354-B7DE-90DE87F4A2C2,0.9402,1.0944,1.0289,31.3778,2019-06-05T08:35:41.560,1.40E+05,45.1875,311,
INIT,0,Original,Colpidium,2316.7865,0.3589,129.2476,135.0255,138.8984,74613.2471,66358.3932,83886.6418,0.6281,6/5/19,54.3123,0.2845,105.487,100.1355,299AB176-CA62-4D9A-B57D-8BEEC354FDC0,0.9572,1.0747,1.0287,38.1625,2019-06-05T08:35:41.604,8.39E+04,36.5115,311,
INIT,0,Original,Colpidium,2025.8652,0.3899,127.7217,134.9505,139.1427,79038.6433,63649.1098,68592.9732,0.6697,6/5/19,50.7879,0.3753,89.3974,93.6285,53110165-C09A-46D4-927E-E59BBEF49BD4,0.9464,1.0894,1.0311,30.7839,2019-06-05T08:35:44.517,6.86E+04,37.2345,311,
INIT,0,Original,Colpidium,2102.0527,0.3757,128.9225,135.9315,140.0773,74781.4273,65436.3834,72498.5282,0.647,6/5/19,51.7341,0.3128,99.0861,97.9665,5070CADF-81D0-482F-A4F9-B0EDEF830AA6,0.9484,1.0865,1.0305,35.5131,2019-06-05T08:35:45.170,7.25E+04,38.6805,311,
INIT,0,Original,Colpidium,3044.0771,0.3633,128.5594,133.0872,136.4921,99974.974,97268.0646,126341.8611,0.6305,6/5/19,62.2562,0.257,124.445,117.4875,E39B14F1-B85E-46CB-A282-30C3696B347F,0.966,1.0617,1.0256,40.1513,2019-06-05T08:35:45.866,1.26E+05,41.5725,311,
INIT,0,Original,Colpidium,2867.8549,0.4041,133.3837,135.548,138.9046,95060.8395,91546.8922,115531.275,0.6859,6/5/19,60.4274,0.2874,113.5799,104.4735,8B4848B2-26F6-4CB2-AFC0-BE013F7EAD53,0.984,1.0414,1.0248,39.4673,2019-06-05T08:35:49.520,1.16E+05,42.2955,311,
INIT,0,Original,Colpidium,2264.5256,0.4797,136.244,138.6245,141.4088,69461.637,76770.228,81064.3055,0.7636,6/5/19,53.6962,0.2626,108.6444,93.6285,CF7C1BFE-533F-4A0A-8B15-5A8A3F89E733,0.9828,1.0379,1.0201,39.9838,2019-06-05T08:35:51.392,8.11E+04,41.5725,311,
INIT,0,Original,Colpidium,2620.1295,0.3971,124.5763,131.428,135.7938,101849.9997,88276.6514,100889.9575,0.6819,6/5/19,57.7586,0.3399,103.9268,103.7505,A8AEDC0C-5A69-46B3-9837-40C27DE1A276,0.9479,1.09,1.0332,33.9205,2019-06-05T08:35:53.046,1.01E+05,41.5725,311,
